Opp_Team,Opp_Team_W/L%,Opp_Winning_Record,Opp_Playoff_Team,Opp_Total_Wins,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,+/-,AvMP,AvPTS,AvRB,AvAST,Year
Atlanta,0.293,No,No,24,2,2,61,14,30,7,18,12,15,1,13,26,3,0,4,2,47,0.467,0.389,0.8,0.642,29.4,139,102,25.8,30.5,23.5,6.5,13,2018
Boston,0.671,Yes,Yes,55,2,2,77,13,45,8,27,26,28,2,13,20,7,1,12,6,60,0.289,0.296,0.929,0.523,39.4,106,106,12.5,38.4,30,6.5,10,2018
Brooklyn,0.341,No,No,28,2,2,70,24,43,12,23,13,14,0,14,13,2,3,6,6,73,0.558,0.522,0.929,0.742,35.9,138,111,10.9,35.1,36.5,7,6.5,2018
Charlotte,0.439,No,No,36,2,2,68,16,40,7,20,9,10,0,14,19,2,1,8,7,48,0.4,0.35,0.9,0.541,34.8,109,96,-5.1,34.1,24,7,9.5,2018
Cleveland,0.61,Yes,Yes,50,2,2,74,13,37,7,25,18,19,1,17,22,7,1,9,6,51,0.351,0.28,0.947,0.562,31.6,121,98,9.3,36.9,25.5,8.5,11,2018
Dallas,0.293,No,No,24,3,3,97,25,54,16,36,15,18,1,14,25,5,2,9,7,81,0.463,0.444,0.833,0.654,34.1,126,99,34.4,32.5,27,4.7,8.3,2018
Denver,0.561,Yes,No,46,3,3,96,24,52,12,28,30,36,3,23,27,1,0,17,5,90,0.462,0.429,0.833,0.663,38.4,125,108,31.8,32.1,30,7.7,9,2018
Detroit,0.476,No,No,39,1,1,40,4,20,0,8,13,18,0,8,5,2,2,3,2,21,0.2,0,0.722,0.376,32.9,81,87,-10.4,40.4,21,8,5,2018
Golden State,0.707,Yes,Yes,58,2,2,71,18,39,9,18,4,6,1,8,19,3,2,9,3,49,0.462,0.5,0.667,0.588,29.5,114,113,-3.4,35.5,24.5,4,9.5,2018
Indiana,0.585,Yes,Yes,48,2,2,69,17,43,7,24,14,14,2,13,25,3,0,4,3,55,0.395,0.292,1,0.559,33.5,132,99,35.5,34.4,27.5,6.5,12.5,2018
