Team,W,L,W/L%,PS/G,PA/G,SRS,Playoffs?
Boston,53,29,0.646,108,105.4,2.25,Yes
Cleveland,51,31,0.622,110.3,107.2,2.87,Yes
Toronto,51,31,0.622,106.9,102.6,3.65,Yes
Washington,49,33,0.598,109.2,107.4,1.36,Yes
Atlanta,43,39,0.524,103.2,104,-1.23,Yes
Milwaukee,42,40,0.512,103.6,103.8,-0.45,Yes
Indiana,42,40,0.512,105.1,105.3,-0.64,Yes
Chicago,41,41,0.5,102.9,102.4,0.03,Yes
Miami,41,41,0.5,103.2,102.1,0.77,No
Detroit,37,45,0.451,101.3,102.5,-1.29,No
Charlotte,36,46,0.439,104.9,104.7,-0.07,No
New York,31,51,0.378,104.3,108,-3.87,No
Orlando,29,53,0.354,101.1,107.6,-6.61,No
Philadelphia,28,54,0.341,102.4,108.1,-5.83,No
Brooklyn,20,62,0.244,105.8,112.5,-6.74,No
Golden State,67,15,0.817,115.9,104.3,11.35,Yes
San Antonio,61,21,0.744,105.3,98.1,7.13,Yes
Houston,55,27,0.671,115.3,109.6,5.84,Yes
LA Clippers,51,31,0.622,108.7,104.4,4.42,Yes
Utah,51,31,0.622,100.7,96.8,4,Yes
Oklahoma City,47,35,0.573,106.6,105.8,1.14,Yes
Memphis,43,39,0.524,100.5,100,0.96,Yes
Portland,41,41,0.5,107.9,108.5,-0.23,Yes
Denver,40,42,0.488,111.7,111.2,0.7,No
New Orleans,34,48,0.415,104.3,106.4,-1.69,No
Dallas,33,49,0.402,97.9,100.8,-2.53,No
Sacramento,32,50,0.39,102.8,106.7,-3.29,No
Minnesota,31,51,0.378,105.6,106.7,-0.64,No
LA Lakers,26,56,0.317,104.6,111.5,-6.29,No
Phoenix,24,58,0.293,107.7,113.3,-5.14,No
