index,Player,Opp_Team,Opp_Team_W/L %,Opp_Winning_Record,Opp_Playoff_Team,Opp_Team_Wins,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,+/-,AvMP,AvPTS,AvRB,AvAST,Year
0,James_Harden,Atlanta,0.524,Yes,Yes,43,2,2,76,20,42,9,20,22,28,3,17,19,7,0,12,7,71,0.476,0.45,0.786,0.654,36.2,119,103,-4.3,37.8,35.5,8.5,9.5,2017
1,James_Harden,Boston,0.646,Yes,Yes,53,2,2,72,14,32,5,16,34,37,1,14,19,4,1,17,5,67,0.438,0.313,0.919,0.694,40,114,110,-7.2,36.2,33.5,7,9.5,2017
2,James_Harden,Brooklyn,0.244,No,No,20,2,2,70,18,43,8,20,14,19,5,20,22,3,0,11,7,58,0.419,0.4,0.737,0.565,35.6,117,108,10.2,35,29,10,11,2017
3,James_Harden,Chicago,0.5,Yes,Yes,41,2,2,77,19,49,8,22,15,19,1,19,22,4,1,8,7,61,0.388,0.364,0.789,0.532,36.2,110,95,4.4,38.5,30.5,9.5,11,2017
4,James_Harden,Charlotte,0.439,No,No,36,2,2,77,19,45,11,23,21,26,2,26,18,1,1,13,7,70,0.422,0.478,0.808,0.62,39.4,112,105,9.3,38.6,35,13,9,2017
5,James_Harden,Cleveland,0.622,Yes,Yes,51,2,2,78,26,48,9,23,18,26,4,17,26,2,1,5,5,79,0.542,0.391,0.692,0.665,35.6,145,128,21.6,39,39.5,8.5,13,2017
6,James_Harden,Dallas,0.402,No,No,33,4,4,144,30,69,13,33,33,39,4,28,44,4,1,23,11,106,0.435,0.394,0.846,0.615,34.9,119,105,15.2,36.1,26.5,7,11,2017
7,James_Harden,Denver,0.488,No,No,40,4,4,148,38,87,12,34,42,51,2,31,40,8,4,23,13,130,0.437,0.353,0.824,0.594,37.9,113,104,8.8,37.1,32.5,7.8,10,2017
8,James_Harden,Detroit,0.451,No,No,37,2,2,75,16,42,9,28,20,26,4,17,23,0,2,7,6,61,0.381,0.321,0.769,0.571,35.9,122,110,9.2,37.6,30.5,8.5,11.5,2017
9,James_Harden,Golden State,0.817,Yes,Yes,67,4,4,153,23,73,5,34,36,39,8,44,45,4,2,26,11,87,0.315,0.147,0.923,0.482,31.3,98,111,-15.1,38.4,21.8,11,11.3,2017
10,James_Harden,Indiana,0.512,Yes,Yes,42,2,2,71,8,34,3,19,21,24,2,12,20,5,0,10,7,40,0.235,0.158,0.875,0.449,32.8,95,117,-21.4,35.4,20,6,10,2017
11,James_Harden,LA Clippers,0.622,Yes,Yes,51,3,3,94,19,39,7,20,25,31,2,23,25,7,2,18,10,70,0.487,0.35,0.806,0.665,31.8,116,107,-14.6,31.2,23.3,7.7,8.3,2017
12,James_Harden,LA Lakers,0.317,No,No,26,3,3,98,23,45,6,20,25,29,6,25,37,7,0,20,7,77,0.511,0.3,0.862,0.667,32.1,121,99,18,32.7,25.7,8.3,12.3,2017
