Opp_Team,Opp_Team_W/L%,Opp_Winning_Record,Opp_Playoff_Team,Opp_Total_Wins,G,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,TS%,USG%,ORtg,DRtg,+/-,AvMP,AvPTS,AvRB,AvAST,Year
Atlanta,0.524,Yes,Yes,43,4,4,164,45,80,10,20,20,29,7,46,30,6,0,11,13,120,0.563,0.5,0.69,0.647,27.9,129,116,-0.3,41.1,30,11.5,7.5,2017
Boston,0.646,Yes,Yes,53,4,4,159,45,83,7,20,20,27,10,38,39,4,6,17,10,117,0.542,0.35,0.741,0.617,30.5,124,111,15.3,39.7,29.3,9.5,9.8,2017
Brooklyn,0.244,No,No,20,3,3,97,34,54,1,7,17,23,1,18,23,6,0,11,3,86,0.63,0.143,0.739,0.671,31.6,124,102,35.1,32.3,28.7,6,7.7,2017
Chicago,0.5,Yes,Yes,41,3,3,121,36,63,3,12,9,16,3,23,28,2,1,17,4,84,0.571,0.25,0.563,0.6,32.6,109,113,-7.7,40.2,28,7.7,9.3,2017
Charlotte,0.439,No,No,36,4,4,157,46,84,11,24,24,33,3,32,38,6,4,13,6,127,0.548,0.458,0.727,0.645,33.5,129,108,9.7,39.2,31.8,8,9.5,2017
Dallas,0.402,No,No,33,2,2,66,15,32,3,11,9,13,0,14,20,3,0,9,1,42,0.469,0.273,0.692,0.557,32.4,111,102,19.1,33.2,21,7,10,2017
Denver,0.488,No,No,40,2,2,67,19,28,1,3,6,8,2,11,17,2,0,10,2,45,0.679,0.333,0.75,0.714,28.1,123,123,-3,33.7,22.5,5.5,8.5,2017
Detroit,0.451,No,No,37,3,3,96,27,48,1,11,11,16,4,28,25,1,1,7,2,66,0.563,0.091,0.688,0.6,31.1,124,101,33.4,31.8,22,9.3,8.3,2017
Golden State,0.817,Yes,Yes,67,2,2,75,18,40,5,12,10,17,7,21,6,3,1,11,3,51,0.45,0.417,0.588,0.537,31.6,95,113,-17.4,37.6,25.5,10.5,3,2017
Houston,0.671,Yes,Yes,55,2,2,76,18,32,5,14,8,13,3,20,13,2,0,12,6,49,0.563,0.357,0.615,0.65,30.3,111,124,4,38,24.5,10,6.5,2017
